anc,census_tract,coords,district,method,objectid,offense,report_time,shift,ward
5D,8803.0,"[-76.9975579843, 38.909409767]",FIFTH,OTHERS,193290,THEFT F/AUTO,2016-06-02T17:03:13.000Z,EVENING,5
3E,1001.0,"[-77.0853018915, 38.9599152513]",SECOND,OTHERS,193291,THEFT/OTHER,2016-06-02T17:39:32.000Z,EVENING,3
5C,9102.0,"[-76.9819666406, 38.9219389949]",FIFTH,OTHERS,193292,ROBBERY,2016-06-02T17:50:50.000Z,EVENING,5
5D,8904.0,"[-76.9741901124, 38.9014976093]",FIFTH,OTHERS,193293,THEFT/OTHER,2016-06-02T18:02:32.000Z,EVENING,5
6B,7000.0,"[-76.9955880526, 38.8827269275]",FIRST,OTHERS,193294,THEFT F/AUTO,2016-06-02T18:04:42.000Z,EVENING,6
8B,7605.0,"[-76.9720375047, 38.8638961022]",SIXTH,OTHERS,193295,ASSAULT W/DANGEROUS WEAPON,2016-06-02T18:06:46.000Z,EVENING,8
6B,7000.0,"[-76.9989880469, 38.8827270064]",FIRST,OTHERS,193296,THEFT/OTHER,2016-06-02T18:18:54.000Z,EVENING,6
2C,5800.0,"[-77.0270466107, 38.897839934]",FIRST,OTHERS,193297,THEFT/OTHER,2016-06-02T18:24:05.000Z,EVENING,2
2C,5800.0,"[-77.0209248225, 38.8961296016]",FIRST,OTHERS,193298,THEFT F/AUTO,2016-06-02T19:07:14.000Z,EVENING,2
2F,10100.0,"[-77.0288592086, 38.9045777526]",THIRD,OTHERS,193299,THEFT F/AUTO,2016-06-02T19:08:20.000Z,EVENING,2
1B,3500.0,"[-77.0255805734, 38.9244058661]",THIRD,OTHERS,193300,BURGLARY,2016-06-02T19:33:52.000Z,EVENING,1
1C,4001.0,"[-77.0441677373, 38.9201303732]",THIRD,OTHERS,193301,THEFT/OTHER,2016-06-02T19:37:28.000Z,EVENING,1
1A,3100.0,"[-77.0250293169, 38.9309189972]",THIRD,OTHERS,193302,THEFT/OTHER,2016-06-02T19:48:49.000Z,EVENING,1
2C,5800.0,"[-77.0288678098, 38.897344038]",FIRST,OTHERS,193303,THEFT/OTHER,2016-06-02T19:56:43.000Z,EVENING,2
1A,2900.0,"[-77.0291127479, 38.9325845883]",THIRD,OTHERS,193304,THEFT F/AUTO,2016-06-02T19:58:39.000Z,EVENING,1
4C,2001.0,"[-77.0349256588, 38.9562207396]",FOURTH,OTHERS,193305,ROBBERY,2016-06-02T20:22:17.000Z,EVENING,4
6D,10500.0,"[-77.0151922455, 38.8802847488]",FIRST,OTHERS,193306,THEFT/OTHER,2016-06-02T20:22:38.000Z,EVENING,6
2C,5800.0,"[-77.0224356651, 38.8984534793]",FIRST,OTHERS,193307,THEFT F/AUTO,2016-06-02T20:26:42.000Z,EVENING,2
1C,4002.0,"[-77.0429583571, 38.9224910055]",THIRD,OTHERS,193308,THEFT/OTHER,2016-06-02T20:39:07.000Z,EVENING,1
4A,1804.0,"[-77.0275573898, 38.9667173272]",FOURTH,OTHERS,193309,THEFT/OTHER,2016-06-02T20:48:27.000Z,EVENING,4
8B,7409.0,"[-76.9716411477, 38.8464646941]",SEVENTH,OTHERS,193310,THEFT F/AUTO,2016-06-02T20:53:02.000Z,EVENING,8
8B,7409.0,"[-76.9777011258, 38.844240923]",SEVENTH,GUN,193311,ASSAULT W/DANGEROUS WEAPON,2016-06-02T21:09:33.000Z,EVENING,8
2C,5800.0,"[-77.0249602377, 38.8983178417]",FIRST,OTHERS,193312,THEFT/OTHER,2016-06-02T21:24:52.000Z,EVENING,2
8A,7504.0,"[-76.9814979254, 38.8617359639]",SEVENTH,OTHERS,193313,THEFT/OTHER,2016-06-02T21:32:35.000Z,EVENING,8
1C,4002.0,"[-77.0444548555, 38.9182565317]",THIRD,OTHERS,193314,THEFT/OTHER,2016-06-02T21:43:44.000Z,EVENING,1
5C,11100.0,"[-76.9701561661, 38.9266479275]",FIFTH,OTHERS,193315,THEFT F/AUTO,2016-06-02T21:45:54.000Z,EVENING,5
5D,8803.0,"[-76.9986071799, 38.9098511931]",FIFTH,OTHERS,193316,MOTOR VEHICLE THEFT,2016-06-02T21:51:25.000Z,EVENING,5
8E,7404.0,"[-76.9810283265, 38.8511870192]",SEVENTH,OTHERS,193317,MOTOR VEHICLE THEFT,2016-06-02T22:01:22.000Z,EVENING,8
4B,1901.0,"[-77.0199071194, 38.9669981357]",FOURTH,OTHERS,193318,THEFT F/AUTO,2016-06-02T22:18:27.000Z,EVENING,4
1C,3900.0,"[-77.0403078133, 38.9256358541]",THIRD,OTHERS,193319,THEFT/OTHER,2016-06-02T22:20:41.000Z,EVENING,1
6A,8402.0,"[-76.9892810315, 38.9002027647]",FIRST,OTHERS,193320,THEFT/OTHER,2016-06-02T22:51:05.000Z,EVENING,6
8A,7503.0,"[-76.9900239834, 38.863403561]",SEVENTH,GUN,193321,ROBBERY,2016-06-02T23:44:46.000Z,MIDNIGHT,8
4C,2301.0,"[-77.0129565087, 38.944379356]",FOURTH,KNIFE,193322,ASSAULT W/DANGEROUS WEAPON,2016-06-02T23:54:27.000Z,MIDNIGHT,4
2E,202.0,"[-77.070989046, 38.9076946559]",SECOND,OTHERS,193323,BURGLARY,2016-06-03T00:12:06.000Z,MIDNIGHT,2
5E,3302.0,"[-77.0134701001, 38.9152734453]",FIFTH,OTHERS,193324,THEFT F/AUTO,2016-06-03T00:25:40.000Z,MIDNIGHT,5
3E,1100.0,"[-77.0820339235, 38.9575303997]",SECOND,OTHERS,191483,THEFT F/AUTO,2016-05-16T15:49:35.000Z,EVENING,3
5B,9504.0,"[-76.991443222, 38.942866369]",FOURTH,OTHERS,191484,THEFT F/AUTO,2016-05-16T15:53:05.000Z,EVENING,5
6A,8402.0,"[-76.9926590164, 38.8981220942]",FIRST,OTHERS,191485,THEFT/OTHER,2016-05-16T15:57:54.000Z,EVENING,6
2F,5201.0,"[-77.0332656311, 38.90965729]",SECOND,OTHERS,191486,THEFT/OTHER,2016-05-16T16:01:22.000Z,EVENING,2
4A,2600.0,"[-77.0372475804, 38.939743878]",FOURTH,OTHERS,191487,THEFT F/AUTO,2016-05-16T16:06:18.000Z,EVENING,4
6B,6500.0,"[-76.9995182008, 38.8849070392]",FIRST,OTHERS,191488,THEFT/OTHER,2016-05-16T16:13:44.000Z,EVENING,6
3E,1100.0,"[-77.0820339235, 38.9575303997]",SECOND,OTHERS,191489,THEFT F/AUTO,2016-05-16T16:14:16.000Z,EVENING,3
1B,4300.0,"[-77.0319547787, 38.9175579688]",THIRD,OTHERS,191490,THEFT/OTHER,2016-05-16T16:15:45.000Z,EVENING,1
4C,2400.0,"[-77.0238203601, 38.9369908469]",FOURTH,GUN,191491,ASSAULT W/DANGEROUS WEAPON,2016-05-16T16:16:45.000Z,EVENING,4
6B,6700.0,"[-76.9921182075, 38.8890506297]",FIRST,OTHERS,191492,MOTOR VEHICLE THEFT,2016-05-16T16:20:11.000Z,EVENING,6
1B,3100.0,"[-77.0246015723, 38.92797337]",THIRD,OTHERS,191493,THEFT F/AUTO,2016-05-16T16:28:37.000Z,EVENING,1
3G,1100.0,"[-77.0715930049, 38.9580507305]",SECOND,OTHERS,191494,THEFT F/AUTO,2016-05-16T16:32:25.000Z,EVENING,3
3B,702.0,"[-77.0750174911, 38.923096397]",SECOND,OTHERS,191495,THEFT F/AUTO,2016-05-16T16:33:39.000Z,EVENING,3
4C,2501.0,"[-77.0327291852, 38.9466635962]",FOURTH,OTHERS,191496,THEFT/OTHER,2016-05-16T16:37:48.000Z,EVENING,4
8C,9803.0,"[-77.0005782006, 38.839432539]",SEVENTH,OTHERS,191497,THEFT/OTHER,2016-05-16T16:40:44.000Z,EVENING,8
5D,8804.0,"[-76.9794457222, 38.9062100214]",FIFTH,OTHERS,191498,THEFT/OTHER,2016-05-16T16:50:11.000Z,EVENING,5
1A,3000.0,"[-77.032732849, 38.9295208052]",THIRD,OTHERS,191499,THEFT/OTHER,2016-05-16T16:52:32.000Z,EVENING,1
